UT,PY,DOI
WOS:000429006100016,2018.0,10.1007/s11192-018-2705-y
WOS:000412527000031,2017.0,10.1007/s11192-017-2244-y
WOS:000403466900010,2017.0,10.1007/s11192-017-2284-3
WOS:000399871500024,2017.0,10.1007/s11192-017-2301-6
WOS:000382915800003,2016.0,10.1007/s11192-016-2004-4
WOS:000342228300011,2014.0,10.1007/s11192-014-1357-9
WOS:000329319200034,2014.0,10.1007/s11192-013-1060-2
WOS:000329319200018,2014.0,10.1007/s11192-013-1037-1
WOS:000327219900015,2013.0,10.1007/s11192-013-1013-9
WOS:000327219900017,2013.0,10.1007/s11192-013-0984-x
WOS:000317746900012,2013.0,10.1007/s11192-012-0883-6
WOS:000313016300016,2013.0,10.1007/s11192-012-0763-0
WOS:000313016300012,2013.0,10.1007/s11192-012-0733-6
WOS:000303533600002,2012.0,10.1007/s11192-012-0629-5
WOS:000292210200006,2011.0,10.1007/s11192-011-0364-3
WOS:000271989600010,2009.0,10.1007/s11192-009-2236-0
WOS:000265778100001,2009.0,10.1007/s11192-009-0414-2
WOS:000251368500004,2007.0,10.1007/s11192-007-1692-1
WOS:000681571100003,2021.0,10.1007/s11192-021-04108-5
WOS:000681571100001,2021.0,10.1007/s11192-021-04103-w
WOS:000664849500019,2021.0,10.1007/s11192-021-04055-1
WOS:000630848600006,2021.0,10.1007/s11192-021-03943-w
WOS:000621730600013,2021.0,10.1007/s11192-021-03870-w
WOS:000571691800001,2021.0,10.1007/s11192-020-03690-4
WOS:000544354400002,2020.0,10.1007/s11192-020-03552-z
WOS:000539970600005,2020.0,10.1007/s11192-020-03555-w
WOS:000522019000009,2020.0,10.1007/s11192-020-03429-1
WOS:000517005400003,2020.0,10.1007/s11192-020-03383-y
WOS:000485943600024,2019.0,10.1007/s11192-019-03184-y
WOS:000481434200013,2019.0,10.1007/s11192-019-03160-6
WOS:000464901100001,2019.0,10.1007/s11192-019-03084-1
WOS:000438126800016,2018.0,10.1007/s11192-018-2761-3
WOS:000429006100009,2018.0,10.1007/s11192-018-2676-z
WOS:000429006100006,2018.0,10.1007/s11192-018-2690-1
WOS:000415715100019,2017.0,10.1007/s11192-017-2532-6
WOS:000412920200022,2017.0,10.1007/s11192-017-2517-5
WOS:000405275500023,2017.0,10.1007/s11192-017-2400-4
WOS:000401747900022,2017.0,10.1007/s11192-017-2312-3
WOS:000399871500023,2017.0,10.1007/s11192-017-2300-7
WOS:000398770700024,2017.0,10.1007/s11192-017-2261-x
WOS:000394148300001,2017.0,10.1007/s11192-016-2214-9
WOS:000389336100024,2016.0,10.1007/s11192-016-2120-1
WOS:000386373000037,2016.0,10.1007/s11192-016-2086-z
WOS:000379346000033,2016.0,10.1007/s11192-016-1874-9
WOS:000379346000024,2016.0,10.1007/s11192-016-1991-5
WOS:000376273700012,2016.0,10.1007/s11192-016-1890-9
WOS:000368075800007,2016.0,10.1007/s11192-015-1785-1
WOS:000365130100003,2015.0,10.1007/s11192-015-1767-3
WOS:000355948600006,2015.0,10.1007/s11192-015-1538-1
WOS:000350337000027,2015.0,10.1007/s11192-014-1477-2
WOS:000350337000024,2015.0,10.1007/s11192-014-1479-0
WOS:000348324000015,2015.0,10.1007/s11192-014-1491-4
WOS:000335905000001,2014.0,10.1007/s11192-013-1000-1
WOS:000317746900007,2013.0,10.1007/s11192-012-0851-1
WOS:000313016300015,2013.0,10.1007/s11192-012-0758-x
WOS:000303533600006,2012.0,10.1007/s11192-012-0693-x
WOS:000299088900001,2012.0,10.1007/s11192-011-0488-5
WOS:000292210200007,2011.0,10.1007/s11192-011-0389-7
WOS:000267368100013,2009.0,10.1007/s11192-008-2062-3
WOS:000238261900010,2006.0,10.1556/Scient.67.2006.3.10
WOS:000705740400008,2021.0,10.1007/s11192-021-04137-0
WOS:000650816300001,2021.0,10.1007/s11192-021-03931-0
WOS:000615174000005,2021.0,10.1007/s11192-021-03864-8
WOS:000591433400004,2021.0,10.1007/s11192-020-03780-3
WOS:000585801800002,2020.0,10.1007/s11192-020-03771-4
WOS:000543290600007,2020.0,10.1007/s11192-020-03587-2
WOS:000535408600001,2020.0,10.1007/s11192-020-03498-2
WOS:000535409500001,2020.0,10.1007/s11192-020-03523-4
WOS:000530786700002,2020.0,10.1007/s11192-020-03440-6
WOS:000516578700008,2020.0,10.1007/s11192-020-03352-5
WOS:000516578700010,2020.0,10.1007/s11192-020-03362-3
WOS:000485943600004,2019.0,10.1007/s11192-019-03197-7
WOS:000477044700016,2019.0,10.1007/s11192-019-03142-8
WOS:000477044700020,2019.0,10.1007/s11192-019-03135-7
WOS:000471656400009,2019.0,10.1007/s11192-019-03126-8
WOS:000464901100016,2019.0,10.1007/s11192-019-03080-5
WOS:000425306300020,2018.0,10.1007/s11192-017-2631-4
WOS:000419397900004,2018.0,10.1007/s11192-017-2578-5
WOS:000419397900001,2018.0,10.1007/s11192-017-2571-z
WOS:000415715100014,2017.0,10.1007/s11192-017-2554-0
WOS:000412920200001,2017.0,10.1007/s11192-017-2500-1
WOS:000398770700006,2017.0,10.1007/s11192-017-2277-2
WOS:000394339500009,2017.0,10.1007/s11192-016-2218-5
WOS:000394148300028,2017.0,10.1007/s11192-016-2199-4
WOS:000393748300029,2017.0,10.1007/s11192-016-2110-3
WOS:000389336100050,2016.0,10.1007/s11192-016-2123-y
WOS:000389336100035,2016.0,10.1007/s11192-016-2119-7
WOS:000379346000002,2016.0,10.1007/s11192-016-1988-0
WOS:000361992800030,2015.0,10.1007/s11192-015-1674-7
WOS:000359143200013,2015.0,10.1007/s11192-015-1608-4
WOS:000354489600001,2015.0,10.1007/s11192-015-1563-0
WOS:000348324000020,2015.0,10.1007/s11192-014-1459-4
WOS:000335905000020,2014.0,10.1007/s11192-013-1209-z
WOS:000310964500008,2012.0,10.1007/s11192-012-0794-6
WOS:000300325800002,2012.0,10.1007/s11192-011-0555-y
WOS:000287665900004,2011.0,10.1007/s11192-010-0305-6
WOS:000282048200007,2010.0,10.1007/s11192-010-0198-4
WOS:000280274400009,2010.0,10.1007/s11192-009-0147-2
WOS:000268019900015,2009.0,10.1007/s11192-009-0073-3
WOS:000263155900006,2009.0,10.1007/s11192-007-1993-4
