UT,PY,DOI
WOS:000243559500002,2007.0,10.1007/s11192-007-0201-x
WOS:000238261900001,2006.0,10.1556/Scient.67.2006.3.1
WOS:000224460100005,2004.0,10.1023/B:SCIE.0000045115.23375.50
WOS:000221389600001,2004.0,
WOS:000174044500003,2002.0,
WOS:000170846300001,2001.0,10.1023/A:1012751509975
WOS:A1992JU16400001,1992.0,10.1007/BF02016845
WOS:000742257200001,2022.0,10.1007/s11192-021-04209-1
WOS:000699882500003,2021.0,10.1007/s11192-021-04165-w
WOS:000674539000002,2021.0,10.1007/s11192-021-04087-7
WOS:000671640200007,2021.0,10.1007/s11192-021-04082-y
WOS:000668393200005,2021.0,10.1007/s11192-021-04084-w
WOS:000665683000006,2021.0,10.1007/s11192-021-04071-1
WOS:000644747600001,2021.0,10.1007/s11192-021-03944-9
WOS:000625725800009,2021.0,10.1007/s11192-021-03912-3
WOS:000624407500004,2021.0,10.1007/s11192-020-03845-3
WOS:000616460200001,2021.0,10.1007/s11192-020-03834-6
WOS:000615174000002,2021.0,10.1007/s11192-021-03862-w
WOS:000604808200001,2021.0,10.1007/s11192-020-03797-8
WOS:000571691800006,2020.0,10.1007/s11192-020-03705-0
WOS:000552196500005,2020.0,10.1007/s11192-020-03621-3
WOS:000548155000007,2020.0,10.1007/s11192-020-03591-6
WOS:000539518600001,2020.0,10.1007/s11192-020-03423-7
WOS:000533060200005,2020.0,10.1007/s11192-020-03501-w
WOS:000517005400002,2020.0,10.1007/s11192-020-03391-y
WOS:000511927600006,2020.0,10.1007/s11192-019-03334-2
WOS:000495302900008,2019.0,10.1007/s11192-019-03258-x
WOS:000481434200020,2019.0,10.1007/s11192-019-03172-2
WOS:000477044700005,2019.0,10.1007/s11192-019-03131-x
WOS:000464901100010,2019.0,10.1007/s11192-019-03056-5
WOS:000460804500005,2019.0,10.1007/s11192-019-03007-0
WOS:000460804500001,2019.0,10.1007/s11192-019-03005-2
WOS:000458190700020,2019.0,10.1007/s11192-018-2983-4
WOS:000456290600001,2019.0,10.1007/s11192-018-2954-9
WOS:000451754600007,2018.0,10.1007/s11192-018-2907-3
WOS:000442737700034,2018.0,10.1007/s11192-018-2882-8
WOS:000442737700020,2018.0,10.1007/s11192-018-2840-5
WOS:000442737700002,2018.0,10.1007/s11192-018-2830-7
WOS:000442007200027,2018.0,10.1007/s11192-018-2793-8
WOS:000442007200033,2018.0,10.1007/s11192-018-2810-y
WOS:000440597800022,2018.0,10.1007/s11192-018-2777-8
WOS:000440597800012,2018.0,10.1007/s11192-018-2781-z
WOS:000440597800011,2018.0,10.1007/s11192-018-2763-1
WOS:000438126800007,2018.0,10.1007/s11192-018-2762-2
WOS:000438126800011,2018.0,10.1007/s11192-018-2750-6
WOS:000438126800029,2018.0,10.1007/s11192-018-2733-7
WOS:000426807700014,2018.0,10.1007/s11192-018-2639-4
WOS:000426807700017,2018.0,10.1007/s11192-018-2675-0
WOS:000425306300002,2018.0,10.1007/s11192-017-2589-2
WOS:000424685100021,2018.0,10.1007/s11192-017-2530-8
